Names,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23,Sample24,Sample25,Sample26,Sample27,Sample28,Sample29,Sample30,Sample31,Sample32,Sample33,Sample34,Sample35,Sample36,Sample37,Sample38,Sample39,Sample40,Sample41,Sample42,Sample43,Sample44,Sample45,Sample46,Sample47,Sample48,Sample49,Sample50,Sample51,Sample52,Sample53,Sample54,Sample55,Sample56,Sample57,Sample58,Sample59,Sample60,Sample61,Sample62,Sample63,Sample64,Sample65,Sample66,Sample67,Sample68,Sample69,Sample70,Sample71,Sample72,Sample73,Sample74,Sample75,Sample76,Sample77,Sample78,Sample79,Sample80
Replicates,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected
C19757,2.1927358,1.6329086,2.4302252,0.5544893,NA,1.8242878,2.3638914,1.5561854,1.7010974,0.6946113,1.9176834,1.406477,1.3346989,1.89845,NA,2.2537198,1.6086203,1.2470881,1.5699261,1.7622322,0.8553117,2.1591018,2.6792808,2.2978022,0.6277691,1.0519444,2.4851178,2.1684148,2.3996085,1.7795353,2.0916599,1.7077365,1.8410713,1.2137913,1.3508635,2.2296998,1.9874066,2.0269542,2.0443223,1.9878422,2.2295873,2.6246006,1.3883439,2.1892045,2.804908,0.8077063,2.3393762,1.4999508,0.5094831,1.3232998,2.4483134,1.8730495,0.132352,2.4271514,1.6146995,NA,1.0160381,2.2033685,1.1681064,NA,2.3323719,0.1957518,1.8341459,0.7348603,2.5469073,NA,2.2508803,2.1948812,NA,2.272574,2.1967348,NA,2.7767081,NA,2.0863331,NA,0.9126004,NA,1.1146804,NA
C00042,NA,1.0817259,NA,NA,0.7601545,NA,0.1340417,NA,NA,0.4243341,0.2795398,NA,0.2722476,1.059325,NA,1.184732,0.8859623,2.6782855,2.5692388,1.3646986,NA,2.6142657,NA,NA,NA,1.9879864,NA,NA,NA,NA,NA,NA,0.6959604,2.3995609,NA,1.2297567,0.7401911,2.5894156,NA,0.9298568,NA,NA,0.9322033,0.2805102,NA,1.5479378,NA,2.1221043,NA,NA,NA,NA,2.1189761,NA,NA,2.2794708,2.6773356,NA,NA,NA,NA,1.1531019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.008439,1.2735302,NA,NA,NA,NA,0.3105382,NA,NA
C11391,NA,0.9295942,NA,NA,NA,0.3893898,0.294635,0.382444,NA,0.2019103,NA,NA,NA,0.6962905,NA,NA,NA,2.4262895,2.3598006,1.1434347,NA,2.4239838,NA,NA,NA,1.4699177,NA,NA,NA,NA,NA,NA,NA,2.0579133,NA,0.8357644,0.5626415,2.2527128,NA,0.6037027,NA,NA,0.6831351,NA,NA,1.0784909,NA,1.9005629,NA,NA,NA,NA,1.7205605,NA,NA,1.9104523,2.4860034,NA,NA,NA,NA,0.4750132,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3302472,0.3534741,NA,NA,NA,NA,NA,NA,NA
C14272,1.2880552,1.2894686,0.8696715,1.9424637,NA,1.6419011,1.8997752,1.9386336,NA,1.9980417,1.2858915,2.0020793,1.8491692,2.1118801,2.1077398,1.1746192,1.5367145,2.1293827,1.9184171,1.6688801,2.1715437,2.1780923,1.2509396,1.4771319,1.0053633,1.6175932,1.8078168,1.1247697,0.5178567,1.2622226,1.7333088,1.1349217,1.1738394,1.63482,1.2628466,1.6850518,1.2466742,1.4799354,1.8509408,0.7232782,1.0993636,0.2006175,1.0026576,1.5918789,1.3109835,1.4270248,1.0231812,1.7005697,1.8619596,1.2757565,1.5530099,1.4442993,0.9293037,1.6433234,1.0410573,1.0343726,1.1351045,1.3391887,0.5475714,NA,1.3620122,0.6176812,0.9697823,1.1706378,1.4989837,1.0100877,1.329366,0.4641735,0.3003122,1.3256942,0.3145667,1.3640717,1.5285354,NA,1.1500605,0.966518,0.5201288,NA,0.6402224,0.3745618
C07287,1.4880006,1.4538546,1.2594548,1.2812344,0.2241397,1.7327536,1.6142942,1.5438761,0.9191515,1.5816895,0.2492616,1.1286925,1.2788091,1.47464,1.3587849,1.7885657,1.457371,1.97667,2.0266216,1.4501107,0.9763481,2.2389918,1.4545541,1.1946312,1.245076,1.3594235,1.0965019,1.6902288,1.3233174,0.8496663,1.0699224,0.6057233,1.0701783,1.6409296,0.8146032,1.5057074,1.2811892,1.6459978,1.2348551,1.1583343,1.5302987,1.8721643,1.4646728,1.45949,1.9229203,1.184533,1.7169414,1.5638001,1.3089035,1.3722864,1.7312301,1.0666903,1.3117971,1.621785,NA,0.9033364,1.9742346,1.7588456,0.558724,NA,2.1533192,1.5418727,1.1687714,1.5075925,1.7535072,NA,0.8788299,1.2892615,NA,1.7819164,NA,NA,1.4129956,NA,0.3971741,NA,NA,NA,0.786788,NA
C01545,1.164421506,0.923835626,2.676379349,0.384063007,0.059237546,1.422824353,2.963411772,2.585811813,1.757629017,1.317307573,2.053995081,2.224931738,1.745786982,1.253292039,1.443987508,2.379207561,2.019834205,1.425386573,1.380444664,1.01117748,2.013835381,1.675948976,2.737276208,2.071529335,1.809703024,1.890956272,2.885214088,3.013333357,2.844153148,2.431556227,2.416505117,0.397063713,1.944940201,1.028831896,1.873986042,2.533862111,2.155729298,2.463726215,2.79584333,2.147004044,2.060039584,2.662697826,1.846555201,2.273628963,3.029090176,2.097880858,2.575010847,0.438042277,NA,0.48079562,2.938147001,2.091802484,0.667120415,2.794014413,NA,0.470383945,1.406106016,2.668713424,0.311368692,NA,2.752669852,1.524834289,2.574204116,NA,2.341716174,NA,1.755890017,1.679421596,NA,2.125028276,2.30753184,0.002226132,2.852727594,NA,1.644435069,1.527997926,0.372162778,NA,1.144865673,0.013851115
C00209,2.365884,2.279692,2.251016,2.037098,2.103405,2.197823,2.475649,2.364111,2.042812,2.504387,2.14489,2.053662,1.751818,2.394653,2.570291,2.187321,2.199778,2.450329,2.569273,2.282885,1.993044,2.734042,2.140887,1.913022,2.094529,2.10441,2.051463,2.015898,1.566077,1.544994,2.017689,1.63184,1.786258,2.204138,1.519702,1.985534,1.846498,2.132482,2.039725,1.972301,2.194525,2.058296,2.077766,2.420869,2.377501,2.1546,2.129474,2.32521,2.472172,1.995435,2.205249,2.044617,1.795753,2.035228,2.373485,2.030289,2.519475,2.284543,2.340469,1.839865,1.965682,1.738509,1.881925,2.019055,2.179301,2.188068,2.148934,2.036759,2.099957,2.281678,2.403496,2.337623,2.459,2.253718,2.305195,2.340528,2.221936,2.083458,2.284728,2.211904
C02498,2.7326724,2.5443584,1.9275466,1.4849608,1.8351864,1.9978698,2.6269336,2.4947949,1.3862633,2.8303658,1.418306,1.3333548,1.1205806,2.5951852,2.8481103,0.6478894,1.3004901,2.6967202,2.8409825,2.6396591,1.2764156,3.0209468,NA,0.6334251,NA,1.8258746,NA,0.2245009,NA,NA,NA,0.8535686,0.6200218,2.398448,0.1147634,1.0064122,0.6183324,2.2920862,0.3712895,0.6534221,0.408801,NA,0.9847987,0.3026516,0.8026519,1.4477269,NA,2.2000481,0.476176,NA,0.3264823,1.0019564,1.6986128,0.4538357,1.7849452,2.1589233,2.7988416,NA,NA,NA,0.9973237,1.4031802,0.2121821,1.1262741,0.1961318,0.8767479,NA,NA,NA,0.6148488,1.8304928,2.1903043,2.0280233,1.9309318,1.5998357,1.9770877,1.6454181,1.6881054,1.7395584,1.8796553
C09873,3.05863,3.08878,3.115602,2.104783,2.43117,3.041659,3.182856,3.045246,2.851048,2.200869,2.784369,2.425669,3.001301,3.223082,2.247054,2.879014,2.710885,2.28123,2.932763,2.967303,2.603697,3.089261,3.182484,3.015468,2.776696,2.550576,3.055415,3.234213,3.096665,2.79454,2.84689,2.85246,3.025046,2.24674,2.702026,3.185928,3.076693,2.621781,3.103696,2.929873,3.023865,3.11173,2.785927,2.97599,3.292476,2.351677,2.999058,2.807131,2.938336,2.828411,3.113411,2.968174,2.556895,2.929439,2.920823,1.564903,1.916389,3.134428,2.909647,1.391709,3.126935,2.853957,2.855972,2.827648,3.053553,NA,3.038917,2.928357,2.593231,3.063659,2.975587,2.268899,3.161087,1.465914,2.976524,2.805768,2.821799,1.898025,2.89064,2.291285
C12305,2.4861403,2.5070635,3.1266499,2.2751915,2.9262047,3.3717468,3.486487,3.3562474,3.3448007,2.6167864,3.1264635,2.9083291,3.165328,3.4448523,2.9579866,2.7644902,3.0437462,2.6296894,3.2534698,3.1267612,2.9236275,2.9809637,3.0739303,3.2282359,3.2095668,2.7554558,3.1614647,3.0371994,3.0007631,3.0792958,3.1599679,2.5423675,3.2633161,2.4323428,3.055739,3.4262709,3.3598278,2.7022169,3.2412405,2.1884892,2.6512343,2.3889743,2.817837,2.4044174,2.8175543,2.6936132,3.2781294,2.5979617,3.0159512,3.1327543,3.4599209,3.0570872,2.4876221,3.0041548,3.3312706,2.4229525,2.5344276,3.2477902,2.2266263,2.0757893,3.4295123,3.065486,2.8943958,3.2612143,3.1949786,0.6396375,2.8578341,3.0663065,1.9131531,3.0768906,2.6460399,1.7180098,3.1065022,1.059225,3.2944959,3.1759477,3.164187,NA,3.1606646,3.145526
C00463,1.5875612,2.2266693,2.5707645,NA,NA,1.3045197,2.8458245,1.683149,NA,NA,0.7981874,NA,1.4156731,1.5925177,NA,1.9672087,NA,NA,NA,NA,NA,NA,2.1983154,1.7994583,0.442115,NA,2.1033024,2.571559,2.246545,NA,1.3010894,0.9943139,1.1101164,NA,NA,1.9936737,1.1330369,0.2250199,1.1534443,1.6596221,1.9954826,2.6570765,NA,2.1239021,2.9574057,NA,1.512832,1.0804384,0.5239879,NA,2.6023229,1.7460292,NA,2.4487313,1.1168612,NA,NA,1.8325262,1.4830925,NA,2.1594941,1.1932772,1.6175153,0.3992797,1.970453,NA,2.1034181,1.704652,NA,1.6818921,1.7695701,NA,2.627918,NA,1.9440568,NA,0.8621461,NA,NA,NA
C14696,2.702532,2.636863,2.657657,2.858675,2.783321,2.766686,2.637028,2.750135,2.696417,2.884217,2.749331,2.866294,2.668904,2.684492,2.872306,2.824711,2.789002,2.852464,2.681306,2.729234,2.773339,2.781084,2.647716,2.70053,2.779656,2.799251,2.755509,2.613047,2.572554,2.749842,2.800833,2.701122,2.580129,2.771945,2.611872,2.651689,2.609322,2.795252,2.645838,2.549081,2.70701,2.804092,2.694403,2.882427,2.755201,2.741478,2.777308,2.887392,2.840644,2.695471,2.721179,2.69263,2.629587,2.747015,2.75206,2.851884,2.668908,2.863167,2.880003,2.856575,2.744897,2.784636,2.866498,2.788975,2.670286,2.970381,2.721714,2.727496,2.845084,2.631586,2.861596,2.851752,2.884534,2.901545,2.7548,2.870322,2.735502,2.873921,2.744747,2.894104
C06074,1.6766459,2.0954431,1.6654905,0.429024,0.6267387,1.9453339,2.0759696,1.9424537,0.6480589,0.5597801,1.1918027,0.2370676,1.671284,1.9314525,NA,1.5477922,0.2667923,0.2344778,0.445008,0.1959065,1.1125476,1.855535,1.8306415,1.8158952,0.8896606,1.3138131,1.9565437,1.9690518,1.6464236,1.6022234,1.0426922,1.1773759,1.7167775,NA,1.2875565,1.9477114,1.8249811,0.6918753,2.0432555,1.6442702,1.531666,1.7128462,0.7621145,1.5751048,1.895807,1.1935697,1.7607942,NA,0.8336658,1.5500904,1.8400727,1.5042829,0.3721455,1.222673,1.0154127,NA,NA,0.6067744,0.3125546,NA,1.7387442,0.5603997,1.252986,1.1296443,1.0226104,NA,0.4494241,0.1673639,NA,1.332625,0.7778647,NA,1.8318965,NA,0.5422791,NA,0.6452791,NA,0.2627932,NA
C09666,1.1998644,1.4203831,1.1488974,NA,0.1773754,1.5823356,2.1547322,1.5408648,0.5655248,NA,NA,NA,0.9820588,1.6211207,NA,0.2431278,0.1493368,1.1144994,0.6711627,0.4072512,NA,0.9814435,1.9342887,1.2429299,NA,NA,1.1023053,2.0779069,1.7493672,0.8344014,1.015971,NA,1.2310781,NA,0.33466,1.5625885,1.401533,NA,1.1788123,0.9973393,1.1425553,1.3311472,1.0919036,0.8343733,1.9928665,0.1544275,1.3058807,NA,NA,1.1633069,1.603747,0.2212817,NA,1.2582309,NA,NA,0.3728462,1.0844481,NA,NA,1.797278,0.8475301,0.3976426,0.4775965,1.1633886,NA,0.4036107,0.1707162,NA,0.8655322,NA,NA,0.9826814,NA,0.5909386,NA,NA,NA,NA,NA
C09839,1.6797077,2.1005205,1.6656586,0.429024,0.6267387,1.9481374,2.002417,1.9483291,0.4854402,0.5603505,1.1921638,0.2374949,1.6750083,1.9356455,NA,1.5485659,0.4483526,0.2353386,1.0883248,1.3477791,1.1139404,1.8585501,1.9026451,1.8189159,0.8900393,1.3167429,1.9610808,2.0196266,1.5172936,1.6058925,1.5002949,1.1800919,1.720789,NA,1.2894466,1.9491903,1.8275236,0.6918753,2.0505047,1.6471994,1.1857448,1.7143262,0.9299453,1.5793045,1.712915,1.1965284,1.7615274,NA,0.8338348,1.5514928,1.8216241,1.5062127,0.3721455,1.4448491,1.0155135,NA,NA,1.0791784,0.3125546,NA,1.7390155,1.1620015,1.2534506,1.1299167,1.1476329,NA,1.1962065,0.5645277,NA,1.3332578,0.7778647,NA,1.8336863,NA,0.5429005,NA,0.6452791,NA,0.2627932,NA
C16142,1.6105171,2.1018594,1.4979877,NA,0.9247225,1.8062151,2.0951027,1.8255588,0.8015162,0.9214033,1.1999795,0.789373,1.6452631,1.8972479,NA,1.4149071,NA,NA,0.9865661,1.4207003,1.1043852,1.8007237,1.9655702,1.7305312,0.7896732,1.2944312,1.9177997,2.1223033,1.6482423,1.6224648,1.5020063,1.2197143,1.6991959,NA,1.2583782,1.8745991,1.7135469,0.6347452,2.0938967,1.5905635,1.1947054,1.4786634,0.8647847,1.4225171,1.7578283,1.2183536,1.3693843,NA,0.7978801,1.4206581,1.5313664,1.4309473,0.3833941,1.5019206,1.2465841,NA,NA,0.6486353,0.3320563,NA,1.5909326,0.5171946,1.0990893,0.6363657,1.1157129,NA,1.1753596,0.2069924,0.3336723,0.6940087,0.9902894,NA,1.9003272,NA,1.2177786,0.3445738,0.8755526,NA,NA,NA
C17088,2.2307837,2.2671097,2.2467529,NA,1.3821786,2.4968789,2.707125,2.5018695,2.0388461,0.4426534,1.9271868,0.2271739,1.8136982,2.3801806,0.6782302,1.925821,1.6789309,NA,1.7708148,1.7933172,0.9443959,2.1044009,2.6281574,2.3245275,1.7932577,1.4605084,2.267588,2.669069,2.4772501,1.9718667,2.2268678,1.4294421,2.1354149,NA,1.6514243,2.4304215,2.307254,1.1939292,2.2287809,1.9519542,2.2102644,2.3789156,2.0631907,2.1135495,2.731522,1.1561027,2.2382926,0.9462207,1.5011376,2.0588926,2.426071,1.7667543,0.6884644,2.2669024,1.9211912,NA,0.5216995,2.3161843,1.5504713,NA,2.6530039,1.9952416,1.8873241,1.870028,2.192307,NA,1.75791,1.788538,0.2987786,2.0888652,1.8843916,NA,2.2948004,NA,1.9384724,1.2557974,1.5733595,NA,1.5763495,NA
C20811,2.2305983,2.2666261,2.2465074,NA,1.3821786,2.4964221,2.7062378,2.5012547,2.0387495,0.4426534,1.9271868,0.2271739,1.8136833,2.3806352,0.6782302,1.925821,1.6789309,NA,1.7707791,1.7932628,0.9443959,2.1041573,2.6278614,2.324499,1.7932577,1.4605084,2.2674001,2.6691452,2.4769143,1.9718281,2.2268058,1.4294421,2.1350413,NA,1.6514059,2.4300497,2.3071285,1.1939292,2.2286116,1.9519312,2.2102048,2.3787826,2.0629775,2.1135083,2.7311526,1.1561027,2.2382182,0.9462207,1.5011376,2.0588036,2.4257798,1.7667361,0.6884644,2.2667817,1.9211912,NA,0.5216995,2.3160642,1.5504713,NA,2.6527231,1.9951063,1.8873241,1.8700083,2.1918422,NA,1.75791,1.788538,0.2987786,2.0887667,1.8843916,NA,2.294627,NA,1.9384724,1.2557974,1.5733595,NA,1.5763495,NA
C09665,3.58144,3.604809,3.655818,2.227237,3.331593,3.680112,3.771046,3.644278,3.618916,3.061521,3.567726,3.139064,3.438762,3.624267,3.016311,3.552366,3.387866,2.880982,3.367732,3.422548,3.167343,3.521714,3.752286,3.621856,3.479261,3.273974,3.633844,3.770607,3.700171,3.523563,3.631651,3.3239,3.58206,2.727076,3.429095,3.68665,3.653584,3.340623,3.62935,3.541703,3.60696,3.686455,3.576644,3.572592,3.776297,3.211589,3.667742,3.27408,3.308906,3.604695,3.715837,3.484717,3.160746,3.652394,3.584979,2.436712,3.032055,3.683938,3.368058,2.565507,3.760546,3.557382,3.544943,3.516466,3.624357,1.969612,3.482448,3.486635,3.144631,3.568538,3.511029,2.903882,3.682396,2.28681,3.573091,3.411205,3.446407,2.623277,3.450962,3.189246
C01126,1.7957132,2.0061385,1.7021853,NA,0.8933237,2.3012163,2.6252226,1.9920471,1.7605139,NA,1.6813888,NA,1.2938685,1.9783772,NA,0.752985,0.2362177,0.2594879,NA,1.0382436,NA,1.7148397,2.3909183,1.946962,0.700957,0.1851598,1.9706844,2.4581921,2.2069717,1.5293145,1.9167067,0.9435777,1.7260673,NA,1.0479193,2.1551666,2.0422124,1.0734896,1.9246664,1.66542,2.0191958,1.8606823,1.9083077,1.853782,2.5276084,1.0059106,1.7648466,0.5194491,0.7416138,2.0293171,2.3076289,1.4504847,0.247934,2.0385669,1.7940092,NA,0.8574896,1.5509204,NA,NA,2.466974,1.7577289,1.3530959,1.1976106,1.6852519,NA,1.4669081,0.8868151,NA,1.0058256,1.6504101,NA,2.1206593,NA,1.7314971,0.9399475,0.2555727,NA,0.5678348,NA
